"","names","indirizzi","cap"
"412","Affiliato Tecnocasa: IMMOBILIARE VILLAGGIO PRENESTINO LUNGHEZZA S.R.L.","Via del Fosso dell'Osa  358",132
"413","IDEA FIMIT SGR Spa","Via Mercadante 18",198
"414","Affiliato Tecnocasa: STUDIO COLLE ROMITO S.R.L.","Via delle Pinete  121-123",40
"415","Vescovio Immobiliare srl","Piazza Vescovio 2",199
"416","RomaEstCase.it","Via Massa di San Giuliano 321",132
"417","PROFESSIONALCASA S.R.L.","Via Luigi Capuana 207",137
"418","Affiliato Tecnocasa: TOR SAN LORENZO 2011 S.R.L.","VIALE SAN LORENZO 13/D",40
"419","Affiliato Tecnocasa: STUDIO PALOMBARA S.R.L.","VIALE RIETI snc",18
"420","Immobil Class ","via valdinievole  91",141
"421","Aureli Immobiliare","Via Tommaso da Celano (1° ag. collegata) 90",179
"422","Grimaldi Aurelio-Gregorio VII","Via Innocenzo XI  52",165
"423","PR Casa Immobiliare Acilia","Via Amedeo Bocchi 300",125
"424","L.C Immobiliare","Via Del Mare  33",40
"425","domus immobiliare","via palombarese 266",10
"426","Affiliato Tecnorete: IMMOBILIARE CASILINA S.R.L.","Via Casilina 1853",132
"427","Affiliato Tecnocasa: PUNTO MEDIAZIONI S.R.L.","Corso Filippo Turati  92/94",34
"428","Solo Affitti - Agenzia di Grottaferrata","Via Gregorio di Tuscolo 37",46
"429","Affiliato Tecnorete: NEW COLLE PRENESTINO S.R.L.S.","via prenestina 1220",132
"430","Felicioni Immobiliare di Felicioni Silvia","Corso Guglielmo Marconi 17",53
"431","Nigro Immobiliare","Via Livorno 27 D",55
"432","INTERCONSULTING Rome Cavalieri","Via Cadlolo  101",136
"433","PUNTO CASA SERVIZI IMMOBILIARI SRL","Via Tor de Schiavi 232/a",171
"434","Affiliato Tecnocasa:  IMMOBILIARE LANUVIO S.R.L.","piazza carlo fontana 4",40
"435","Interark srl ","viale delle milizie 38",195
"436","Studio Gregory srl aff. Frimm","via Ignazio Ribotti  23",149
"437","Gruppo Savelli Immobiliare s.r.l.s","Via  Andrea lavezzolo 28",127
"438","Affiliato Tecnorete: ROMA EST IMMOBILIARE S.R.L. UNIPERSONALE","Via Massa di San Giuliano 295",132
"439","InvestiRE SGR SpA","via PO 16/A",186
"440","Affiliato Tecnocasa: STUDIO CENTRO PARIOLI S.R.L.","Piazza Euclide  37",197
"441","Agenzia Regilla Immobiliare s.a.s.","Via Giuseppe Mantellini  31",179
"442","Affiliato Tecnocasa: STUDIO OLEVANO ROMANO S.R.L.","Via VI giugno 22",35
"443","Nobilcasa S.A.S.","Via Riccardo Grazioli Lante  14",195
"444","La Commerciale S.R.L. Promozioni Immobiliari","Lungotevere dei Mellini 44",193
"445","Arcobaleno Immobiliare srl","Via Amsterdam  134",144
"446","Affiliato Tecnocasa: STUDIO PIETRALATA S.R.L.","Via Dei Durantini 265/B",157
"447","EMA IMMOBILIARE","Via Valadier 48",193
"448","Affiliato Tecnocasa: STUDIO CAPENA  SRL","via morlupo  25",60
"449","Agenzia Immobiliare Santa Caterina Di Scozzari Angela","VIA IV NOVEMBRE - primo piano   13",43
"450","Coldwell Banker Futura Group","Via G. Branca 78",153
"451","ANGEL'S HOUSE SRL","Via Crescenzio 43",193
"452","ADcase","Via Wolf Ferrari 258",124
"453","Stimacasa","via A. Baldissera 12",159
"454","Ag. Imm. Re Muto Carlo","via XX settembre 14",62
"455","Orizzonte 2000 s.a.s.","Via I. Belardi 30",45
"456","Tuscolana Case","Via A. Santovetti  86/Bis",46
"457","Studio Pediconi","Piazza Costaguti 14",186
"458","Immobiliare Servizio Casa","Viale Parioli 160",197
"459","Aureli Immobiliare","Via Tommaso da Celano 90/92",179
"460","Volpes case Fontenuova srl","Via Nomentana 616",13
"461","ANTEO IMMOBILIARE","Viale Antium 6 - Centro Comm.le Anteo -  km.35,500",NA
"462","Domus RE Agency srl","Piazza Tommaso Frasconi 5",45
"463","Affiliato Tecnorete: STUDIO IMMOBILIARE CASALBRUCIATO S.R.L.","Via Donati 94",159
"464","Affiliato Tecnocasa: SETTORE COMMERCIALE S.R.L.","Via Tor De' Schiavi 398",171
"465","Immobiliare Bocchi","via viserba 45",54
"466","Casa Europa Immobiliare","P.zza Gregorio Ronca 36",122
"467","Real Estate & Financial Company Srl","Via Di Villa Severini  54",191
"468","Affiliato Tecnocasa: AG IMMOBILIARE S.R.L.","Viale Roma 14",49
"469","Affiliato Tecnocasa: IMMOBILIARE CECCHINA S.R.L.","via nettunense  174",40
"470","CH. DOMUS","Corso del Popolo 18",46
"471","Retecastelli","Via Nettunense 312",40
"472","Studio I.N. sas di L.C.Z.","via di Monte Giordano 36",186
"473","ZOMPETTI IMMOBILIARE di Gallizia Luca","Via Silvio Pellico 8",40
"474","STUDIO GATTULLI  & C.I.F.","VIA DELL'ACQUA SANTA  13",30
"475","Le.pa Immobiliare srl","Via Maremmana km 2,100",30
"476","Gabetti immobilare Centocelle ","Via dei Castani 19",172
"477","PROGEDIMM Srl","Via Angelo Brofferio 3",195
"478","Il Consulente Group","Via delle Robinie 95",172
"479","Rublan Real Estate","Via Cesare Pavese 8",144
"480","Immobiliare Castello Leonardo","Via Tiziano 18",40
"481","BENESTARE IMMOBILIARE S.R.L.","Via Domenico Purificato 179",125
"482","La Nuova Casaclub Immobiliare srl","via macerata 6",176
"483","Immobilveio","Viale Africa  148",60
"484","ESSE IMMOBILIARE","VIA XXV APRILE 51",60
"485","Scardaci Real Estate S.r.l.s","piazza della stazione vecchia 10",122
"486","Affiliato Tecnocasa:  LOCAZIONI IMMOBILIARI S.R.L.","Via Alessandro Fleming 37/39",31
"487","Affiliato Tecnocasa: STUDIO CERRETO S.R.L. UNIPERSONALE","Via Settevene Palo  14",55
"488","Vitale Immobiliare S.R.L.","Via Buscemi 44/a",133
"489","MIRONTI SERVIZI IMMOBILIARI","Via Cavour 10",48
"490","ABITARE CAPENA di Diego de Iulis","piazza san luca  4",60
"491","Le Case del cuore di G. Leoni & A. Bocchetti Sas","Via dell'Orso  36",186
"492","FGF Immobiliare","torraccio di torrenova 135/A",133
"493","CAMBIO CASA","
",NA
"494","ARP","via Giovanni Bettolo  39",192
"495","romastorica","via leccosa 5",186
"496","Valentini Immobiliare srl","Galleria Garibaldi  22",53
"497","Baldi Immobiliare","via ceretana  49b",52
"498","EFFE Immobiliare","Via della Colombella 49",36
"499","Gulliver Immobiliare Real Estate srl","Via della Lucchina .",135
"500","INTERNO 3 SRL","VIA UGO OJETTI  145",137
"501","Affiliato Retecasa Ladispoli","Via La Spezia 67/c",55
"502","habitat roma - di Guadagni e Zaia","Via Augusto Riboty 1",195
"503","R.E. di Roma Immobiliare","Via Monza 16",182
"504","Affiliato Tecnocasa: STUDIO GIARDINI DI ROMA S.R.L.","VIA NINO TARANTO 31/33",127
"505","FARO IMMOBILIARE srl","Via Paolo di Dono  111",142
"506","Affiliato FRIMM - Studio Immobiliare Tiburtina srl","via tiburtina 558",159
"507","Studio Immobiliare Ulmo","Via Vittorio Amedeo II 19",185
"508","Navona service","corso Vittorio Emanuele  10",186
"509","BROKER IMMOBILIARE SRL","VIA CORELLI ARCANGELO 10",198
"510","Affiliato Tecnocasa: STUDIO IMMOBILIARE VIGNA CLARA FLEMING S.R.L.","Via Mariano Vibio 82/a",189
"511","Ve.Lo. Services vendita & locazione immobili","Via Merulana 62",185
"512","Casa 24h Centro Servizi per Universitari","circonvallazione Appia 64/66",179
"513","Lombardozzi Immobiliare","Via Tor Tre Teste 106",169
"514","Affiliato Tecnocasa: IMMOBILIARE SERPENTARA S.R.L.","Via Gaspare Pacchiarotti 12/14",139
"515","5 Stelle Immobiliare","Via Garibaldi 16",46
"516","Immobiliare LG Srl","via Allumiere 65/67",179
"517","centro casa","via agostino fausti 23",62
"518","Affiliato Tecnocasa: STUDIO POMEZIA S.R.L.","via roma 129",40
"519","Affiliato Tecnocasa: LA STORIA S.R.L.","Via Aloisio  4",61
"520","gest imm casa","Largo Lolli 1-2",13
"521","Immobiliare Klemm","Via Giovanni Bovio 15",195
"522","IMMOBILIARE MARELLA SRL","Via Di Selva Candida 197",166
"523","Primo Piano Immobiliare","Corso Matteotti 100",41
"524","Lidense Immobiliare Snc","Corso Duca di Genova 153d",121
"525","Immobiliare RN s.r.l.","Piazza Sergio Corazzini 3",137
"526","Affiliato Tecnocasa: IMMOBILIARE GUIDONIA S.R.L.","viale roma 113",12
"527","Commat srl","piazza sabazio 15",199
"528","Studio CORTESE Immobiliare d'Impresa ","Via A. Salandra 18",187
"529","Eurocasare servizi immobiliari","Via della Fontanella di Borghese  31",186
"530","Coldwell Banker Immobiliare Talenti","Via Francesco D'Ovidio 85 a",137
"531","roma hinterland immobiliare srls","della liberta' 117",24
"532","TRASTEVERE IMMOBILIARE","viale trastevere 98",153
"533","Prometeo Group Srl","Viale della Piramide Cestia 1",153
"534","I.R.I. istituto regionale immobiliare srl","via flaminia 141",196
"535","immobiliare vitinia mezzocammino srl","via casola valsenio  7/9",127
"536","IMMOBILFARO DUE","Via Giorgio Giorgis 188",54
"537","PROGEDIL CASE - Campo Ascolano","Via Lago Maggiore 3",40
"538","Coldwell Banker Immobilare Santo Sorrentino ROMA","Via Trastevere 68 bc",153
"539","GDA IMMOBILIARE","Via Georges Sorel 1",177
"540","Gabetti","Corso Duca di Genova 127",121
"541","IMMOBILEDIL 2000 srl","Viale Somalia 58",199
"542","CaseSi","Via Placido Martini  10",136
"543","SAI Immobiliare S.r.l.","Via di Villa Emiliani 42",197
"544","Affiliato Tecnocasa: MEDIAZIONI RESIDENZIALI E PER L'IMPRESA S.R.L.","Via Cornelio Magni 63/65",147
"545","Case e Dintorni  Snc","Circonvallazione  Clodia  36/A",195
"546","INTERIMMOBILI SRL","PIAZZA UNGHERIA 6",198
"547","LUXURY HOME servizi immobiliari","via Santa Croce in Gerusalemme 8/8a",185
"548","BASIT SERVIZI IMMOBILIARI SRL","CIRCONVALLAZIONE GIANICOLENSE 123 A",152
"549","I-Home srl","Via dell'ospedaletto 24",43
"550","Euro Immobiliare s.n.c.","Piazza Ronchi 15",177
"551","welchome immobiliare srl","via ignazio guidi 92",147
"552","URBANA INSIEME SRL","via cavour 141",184
"553","Gabetti Franchising Agency","Via 4 Novembre 16",43
"554","TREPI","via Blaserna  94",146
"555","Affiliato Tecnocasa: CASTELVERDE VILLAGGIO PRENESTINO S.R.L.","via massa san giuliano 272",132
"556","CROSSIMMOBILIARE Roma 1","Via Costantino 0",100
"557","IMMOBILIARE SEBASTIANELLI","Viale Re Latino  19/A",42
"558","Case da Web","Via delle Cerquette 56",40
"559","Myhome srl","Largo Arrigo Boito 9/10",52
"560","Amati e Montagnani Re","Via Pietro Cavallini 6",193
"561","World immobiliare di Bucciarelli Bianca Maria","VIA NETTUNENSE  110",41
"562","Immobiliare La Maison","Corso Giacomo Matteotti 66",41
"563","Studio Fori","Via di San Giovanni Decollato 10",186
"564","EUROCASE S.R.L.","Via di Grottarossa 169/b",189
"565","raffaella arena","via pamparato 15",166
"566","RoyalHouse ","Via Polia 34",178
"567","Studio Artemisio di Candidi Lucio","VIA ROMA 220",76
"568","Giada Immobiliare S.A.S.","Via G. Pagliari 17",198
"569","AGENTI E CONSULENTI SRL ","PIAZZA LOVATELLI  37",186
"570","Agenzia Immobiliare di Giulio Rivetti","via Maropati 15",178
"571","punto casa immobiliare srl","largo boccaccio 4",34
"572","Affiliato Tecnocasa: IMMOBILIARE ROMA S.R.L.","Viale Beata Vergine del Carmelo 169/171",144
"573","MATERIA IMMOBILIARE","Via Angelo Emo 84",136
"574","Royal Kensington Real Estate S.r.l.","Via Alberto Caroncini 27",197
"575","Flaminia immobiliare snc di Corrado Pace & c ","Lungotevere dei mellini 51",193
"576","G-IMMOBILIARE SRL","Via Trincea delle Frasche 211/C",54
"577","Consulting & Co. Simply professional srl","Via Dei Prati Fiscali 215",141
"578","CRG Immobiliare","Via Gaetano Donizetti 48",41
"579","Immobiliare Giacoponi di Roberto Giacoponi","Via Ardeatina 485",30042
"580","Vami srl","Via Fiumara 24/A",54
"581","IMMOBILSERVICE AG. 3","VIALE 1 MAGGIO 59",46
"582","Obycasa - Agenzia Immobiliare Manziana S.R.L.S.","Corso Vittorio Emanuele 52",66
"583","Cinzia Licata - Free Agency","Via Reggio Calabria  8",161
"584","Affiliato Tecnocasa: STUDIO PRENESTINO 1 S.R.L.","via prenestina 176",176
"585","LA CASA agency -  VELLETRI","VIA LATA 9",49
"586","Solo affitti","Via Giorgio Giorgis 202",54
"587","ImmobilG d.i. Walter Gallina","via fontana maggiore  119",40
"588","Studio Libero S.r.l.","Via Girolamo Benzoni 24/A",154
"589","Modulo Casa","Viale Cortina D'ampezzo 152",135
"590","Affiliato Tecnorete: SPINACETO 2013 S.R.L.","VIA DI MEZZOCAMMINO 141",128
"591","MC Casa d'Aste Immobiliare s.r.l.","Via delle Mura  1/a",49
"592","Area Immobiliare Sas","via Principe di Napoli 33/35",62
"593","MASCI IMMOBILI ","Piazzale Cairoli 26",65
"594","Primavera Immobiliare - Frimm 108 ","via della primavera 61",172
"595","Universo Affitti srls","via Padova 63",161
"596","Affiliato Tecnocasa: IMMOBILI COMMERCIALI ROMA S.R.L.S.","VIA APPIA NUOVA 268",183
"597","IMA IMMOBILIARE","via Elio Lampridio Cerva   34",143
"598","Esigenza Casa","Via Imperia 50",161
"599","Filippo Immobiliare","Via della stazione 21/c",122
"600","Pa.Ma. Immobiliare","Via Tuscolana 44",44
"601","IMMOBIL CENTER","Corso Matteotti  125",41
"602","Toscano","Via carlo bosio 96",121
"603","Oggi Case - Albano","Via Cavour  18",41
"604","Immobiliare Trilussa ","Via Massimo d' Azeglio  10 - 12",41
"605","FreeStars Immobiliare","Via Romana 22",61
"606","STUDIO IMMOBILIARE MEGGIORINI GROUP","via mazzini  24",53
"607","FORUM IMMOBILIARE S.r.l. Unipersonale","Via Aurelia - loc. Aranova 2426",50
"608","Roma's Beach Real Estate","Via Agrippina 9",42
"609","CASTELLO CASE","Via del Mare 34",40
"610","MPG IMMOBILIARE","VIALE ADRIATICO 151",141
"611","Rizzetti Immobiliare","Via Troilo il Grande 90",131
"612","Solari Real Estate srls","circonvallazione cornelia  64",165
"613","Affiliato Tecnocasa:STUDIO LA STORTA 1 S.R.L.","Piazza della Visione  19",123
"614","Tivoli Terme Immobiliare s.r.l.","P.zza Bartolomeo della Queva  22/B",11
"615","FRIMM-MMMD S.R.L.","via Palombarese 676",13
"616","Grandi Case","Viale Kennedy 24",43
"617","Toscano Pomezia","Via Orazio 22/a",40
"618","Zucchetti RE  srl","Via Germanico 168",192
"619","l'atelier Vetrina Immobiliare","via della stazione vecchia 19",122
"620","PRINCESS IMMOBILIARE","VIA DEI TRAGHETTI 34",121
"621","EUREKA REAL ESTATE","Via isidoro del Lungo 75a",137
"622","VREIMMOBILIARE - AGUS GROUP","PIAZZA FONTEIANA 3/B",152
"623","Cagnazzo Immobiliare","Piazzale Clodio  12",195
"624","L'IMMOBILIARE DI CASA","Via Lovanio 16",198
"625","Franchi Luigi Immobiliare","Via Giuseppe Saredo  39",173
"626","Gruppo Progetim","Via Silicella  28b",100
"627","Casalotti SRL -Affiliato Gruppo Toscano","Via della Cellulosa 77/79",166
"628","GLOBO ROMA IMMOBILIARE","Via Marco Besso 40",191
"629","Ludovisi Immobiliare","Via Ludovisi 36",187
"630","Case Investimenti Srls","via Francesco Denza 50a",197
"631","v.&m. immobiliare","via risorgimento 83",41
"632","intercasa immobiliare","Via Ardeatina 334",42
"633","Progetto Immobile.com S.r.l.","Via Cancelliera 69",40
"634","c.s.i. immobiliare snc","via palombarese 152",13
"635","AFFILIATO FRIMM - ROMA CASSIA SAN GODENZO","Largo San Godenzo 6",189
"636","UNION RE","Via della Mendola 270",135
"637","area-re agenzia monteverde","Via di Donna Olimpia 150",152
"638","Ittielle Battistini","Via monti di Primavalle 173",168
"639","Garibaldi Immobiliare di Stefano Garibaldi","Viale Dell'Unione 1",12
"640","LA CASA agency - POMEZIA PONTINA - TITO FLAVIO SRL ","Via Orazio 8",40
"641","FEGIM immobiliare","via Verdinois 40",159
"642","ERA GROUP IMMOBILIARE","Viale Giuseppe Mazzini 117",195
"643","Tiffany S.R.L. Studio Immobiliare","Via Nemorense 49",199
"644","Ittielle Group srl","CIRCONVALLAZIONE GIANICOLENSE 112-H",152
"645","Luxury Rome Home","Via Cesare Fracassini 46",196
"646","Affiliato Tecnocasa: VERMICINO 3 S.R.L.S.","Via di Vermicino 562",133
"647","Easy Home s.r.l.","Via degli Opimiani 32",174
"648","Affiliato Tecnocasa: STUDIO CECCHIGNOLA S.R.L.S.","Via dei Genieri 129/131",143
"649","iHOME SERVIZI IMMOBILIARI","Via Di Villa Adriana 31",19
"650","Affiliato Frimm - Immobiliare Moraca","borgo garibaldi 96",41
"651","Agenzia Immobiliare Italia","Viale alla Marina 7",42
"652","Case a Cerenova Immobiliare srl","Via Etruria Meridionale 18 a",52
"653","Genesi Immobiliare","Via Montesanto 2",195
"654","Affiliato Tecnocasa: IMMOBILIARE TORRE MAURA S.R.L.","Via dell'Aquila Reale 27",169
"655","Affiliato Tecnorete: STUDIO NUOVO SALARIO S.R.L.","via seggiano 15/19",139
"656","Soluzione Immobile RE","Corso G. Matteotti  38",41
"657","ITALCASE Consulenza Immobiliare srl","VIA PIO VII  96/98",167
"658","Punto Immobiliare Pineta Sacchetti","via Mattia Battistini 201",167
"659","Roberto Mancini Servizi Immobiliari S.R.L.","Via Tor Sapienza  64a",155
"660","MLD Customer Care ","Viale America 11",144
"661","m broker immobiliare","Viale Europa 98",144
"662","italgest 93 sas di marcantonio am & c","via leonardo umile 90",144
"663","UNIVERSO CASA","Largo Alessandro Manzoni  21",40
"664","Case a Roma Real Estate","Via Baldo degli Ubaldi  154",167
"665","MI.ZA IMMOBILIARE SRL","VIA STRESA 23",135
"666","Toscano Punto Affiliato Trigoria 1","via Bruno de Finetti 128",134
"667","Affiliato Tecnocasa: IMMOBILIARE CAMILLUCCIA S.R.L.","Via Sangemini 100",135
"668","Gabetti - Agenzia Torrevecchia - ROMA","Via Torrevecchia 320",168
"669","Affiliato Tecnocasa: STUDIO PINETA SACCHETTI S.R.L.","Via Forte Braschi 46",167
"670","Studio Talenti S.r.l.","Via Franco Sacchetti 6/B",137
"671","Nonsolocasa Elite","Via Boezio  92",192
"672","TETRIX IMMOBILIARE","Via Pacuvio  20",136
"673","Elleciconsulenza","via vincenzo cuoco 17",10
"674","ANZIO IMMOBILIARE","Via Roma 30",42
"675","Affiliato Tecnocasa: FMB IMMOBILIARE S.R.L. A CAPITALE RIDOTTO","PIAZZA LAVINIA 14",42
"676","IMMOBILIARE TECNOEDIL","via giacomo matteotti 60/62",53
"677","Affiliato Frimm","Via Teano 295",177
"678","immobilemme s.r.l.","viale Mazzini  25",195
"679","Subiaco Immobiliare","Giuseppe Garibaldi  30",28
"680","Affiliato Tecnocasa: CIAMPINO CASE S.R.L.S.","via del lavoro 30",43
"681","Arvenimmobiliare","Piazza Fabio Filzi 1",44
"682","Regina Immobiliare","Viale Regina Margherita 7",49
"683","Kabiestate Srl ","Via Giovanni di Castel Bolognese  47",153
"684","Gruppo CasaRE - City Consult Srl","Via Pasquale Leonardi Cattolica 3",195
"685"," MEDIA SERVICE IMMOBILIARE SRL","VIA PO 150",198
"686"," Solo Affitti - Affiliato Santa Marinella","Via Antonio Fratti 3",58
"687","Mondocasare Palombara Sabina","Via della Libertà 33 B ",18
"688","Casilina Immobiliare srl ","Via Tor de' Schiavi  198/202",172
"689","IMMOBILIARE CUBEDDU","VIA SALARIA 19",198
"690","Gruppocasa","Viale Carnaro 11 A/B",141
"691","Professionecasa Setteville Real Estate Srl","via Roma 141",12
"692","STUDIO CASA s.r.l.","Via Sante Bargellini 67/69",157
"693","GAUDIO IMMOBILIARE ","VIA DEI DUE PONTI 192E",189
"694","Gruppo Innova","
",NA
"695","Frimm Cantieri e Frazionamenti","via ferdinando di savoia 3",196
"696","La Casetta di Emanuele Palladino","Viale G. Mazzini 4",195
"697","Beliving International Properties","Via di Montoro 8",186
"698","Affiliato Tecnocasa: COLLE PRENESTINO HOUSE SOLUTION S.R.L.","VIA MIRABELLA ECLANO   11",132
"699","PD Immobiliare s.n.c.","
",NA
"700","CASA CLUB 3","Via Riccardo Billi 12",178
"701","affiliato frimm - progetto immobiliare 2010 srl","via del torraccio di torrenova 126",100
"702","Affiliato Tecnorete: CNF 2014 S.R.L.","Via Nettunense 48",40
"703","Affiliato Tecnocasa: STUDIO OSTIA 5 S.R.L.","Corso Duca di Genova 154",121
"704","BRESCIA IMMOBILIARE","via giovanni branca 48",153
"705","Immobilya","Via Val di Sangro 11",141
"706","Affiliato Tecnocasa: STUDIO PONTE DI NONA S.R.L.S UNIPERSONALE","VIA GIOACCHINO RUSSO 2",132
"707","Florida Servizi Immobiliari","Largo Milano  1",40
"708","Immobiliare Ladispoli","Viale Italia 96",55
"709","quadrifoglio immobiliare","piazza g. della rovere 18",122
"710","Grimaldi Ag. Setteville","Largo Carducci 1",12
"711","Solo Affitti - Affiliato Marino","Via Appia Nuova 86",47
"712","TANCREDI CASE - Agenzia accreditata Borsa Immobiliare di Roma  ","PIAZZA SAN GIOVANNI BOSCO 84",175
"713","Astaldi RE S.R.L.","Via Po 9",198
"714","Agenzia Immobiliare Laurentina","Piazzale Luigi Sturzo 15",144
"715","GDS Immobiliare di Gabriele De Simone","Via della Camilluccia  19",135
"716","M&D Studio Immobiliare","circonvallazione cornelia 36",165
"717","Joy Del Piano","Viale Gorizia 52",198
"718","Affiliato Tecnocasa: VILLA ADRIANA MEDIAZIONI S.R.L.","Via Nazionale Tiburtina  122",19
"719","Im.re Catena Punto Affiliato Toscano Trevignano e Bracciano","VIA GARIBALDI 13",69
"720","LEI CASA SRL","Via Cesenatico 35 fregene 35",50
"721","Affiliato Tecnocasa: FIUMICINO 2013 S.R.L.S.","VIA DEL SERBATOIO 14",54
"722","RAGGIEDINUNZIO","piazza roma 2",44
"723","IMMOBILIARE LADISLAO s.r.l.","VIA PALO LAZIALE 7",55
"724","Affiliato SOLO AFFITTI - Agenzia Roma 16 ","Via Rubiera 6",125
"725","Immobiliare RDS","Via delle Fornaci 80",165
"726","Schild&Co. Immobiliare S.R.L.","Via Casal Selce 337/C",166
"727","Meta Immobiliare","Via Basento 62",198
"728","Tani Immobiliare","Via del Trevio 61",19
"729","Affiliato Tecnocasa: IMMOBILIARE FRASCATI S.R.L.","Galleria Vittorio Emanuele II° 20",44
"730","Intermediazione Immobiliare Italiana srl","via premuda 9 9",195
"731","MCM IMMOBILIARE","Via del Giuba  13/15",199
"732","investimenti immobiliari","via Sambucuccio d'Alando    15",162
"733","CASA NEW","Via Palombarese 774",13
"734","Mariella De Vincenzi Srls","Via Arno 51",198
"735","IMMOBILIARE RIVOLTA DAL 1956 - FRIMM ","VIA DELLA LUPA 5",186
"736","MP IMMOBILIARE","Via della Pisana 67-67/a",163
"737","Roma Case di F. Granata Sas","Via della camilluccia 693",135
"738","Affiliato Tecnocasa: TORRE GAIA 2010 S.R.L.","via Gagliano del Capo  93",133
"739","AGENZIA IMMOBILIARE ZIANTONI","Via della Frezza 68/A",186
"740","EFFEGI VALERI IMMOB. SAS","Corso Garibaldi 39",40
"741","Immobiliare Trieste 125","Corso Trieste 125/127",198
"742","Dea Casa ","Via Dei Banchi Nuovi 50",186
"743","Oggi Case - Tor San Lorenzo","Lungomare Tor San Lorenzo 265",40
"744","Agenzia b&d Immobiliare","Via Nomentana 26",13
"745","Oggi Case - Centocelle","Via delle Palme  79",171
"746","Oggi Case - San Giovanni","Piazza Re di Roma 3",183
"747","V.R. Immobiliare S.R.L.","Via Val Maggia 138",141
"748","Ufficio Colle Prenestino 2003","Via Villarosa 1  12",132
"749","My Home Immobiliare","Via della Magliana 178",146
"750","MIFRAN IMMOBILIARE","Via Carlo Mirabello  36",195
"751","ittielle group srl ","via augusto riboty 28",193
"752","Coldwell Banker Smart Properties","Piazza dei Carracci 1",196
"753","Kourum Immobiliare ","Via Monte Grappa 6",43
"754","Exedra Immobiliare Srl","Via Garigliano 63",198
"755","Immobiliare Santacroce S.R.L.","Via Angelo Bargoni  78",153
"756","ML Studio Immobiliare ","via di Torrevecchia  548/550",168
"757","Ricci Immobiliare","Via Attio Labeone 7",175
"758","Omega immobiliare","viale Guido Baccelli  1",53
"759","M.E.M. Srl","via dell'Acqua Bullicante  379",177
"760","Gli Affari Immobiliari d.i. Valentina Lucia","Via Federico Cesi 26",193
"761","Studio di Attività Immobiliare","Piazza Barberini 5",187
"762","GARGANO IMMOBILIARE","Via Monte Tesoro  12",141
"763","FORUM IMMOBILIARE","via torraccio di torrenova  88/e",133
"764","MINGIACCHI SERVIZI IMMOBILIARI","VIA VITTORIO VENETO 65",48
"765","Professionecasa - F.M.IMMOBILIARE S.A.S","VIA FOSDINOVO 68",139
"766","EXGAB SRL","circonvallazione trionfale 151",136
"767","Area-re Agenzia cinecittà","Via Tuscolana 1005",174
"768","ABITAREROMA di Walter Coccia","via guglielmo calderini 68",196
"769","G&B Soluzioni Immobiliari","c/o EuroSky Tower Viale Giorgio Ribotta 21",144
"770","FAGNANI","Via Menotti Garibaldi 14",49
"771","TEMPOCASA Campagnano re srl","Corso Vittorio Emanuele 42",63
"772","A.B.ITARE CONSULTING ","Via Mura dei Francesi  106",43
"773","Nuova AD Immobiliare S.R.L.","Via Rianese 44",60
"774","Easycasa affiliata Frimm","via ferdinando di savoia  3",186
"775","STAR DOMUS srl","via IGNAZIO GIORGI  36",162
"776","IMMOBILIARE ITALIA","Via Cola di Rienzo  203",182
"777","La Navicella- Agenzia Immobiliare","Via Celimontana 36",184
"778","Affiliato Tecnocasa: IMMOBILIARE FAGGI S.R.L.","via dei faggi 106",172
"779","Fiore Real Estate","Via Dandolo  24",153
"780","EMME 2 srl","via san michele 6/c",67
"781","Stimacasa - Immobiliare Bologna Srl","Via Livorno 19",162
"782","Affiliato Tecnocasa: IMMOBILIARE MARCO SIMONE S.R.L.","VIA ANTICOLI CORRADO 54",12
"783","SLI immobiliare ","VIA ODERISI DA GUBBIO 13/A 13/A",167
"784","Gmg Mediazioni Immobiliari","Via tiburtina 92",185
"785","TEMPOCASA Affiliato Roma - Vigna Clara","Via Flaminia Nuova 233 ",191
"786","Acilia Immobiliare","Via di Acilia 108",125
"787","Le belle case di Olga","xxx xx",42
"788","luca procesi","viale ungheria  69",39
"789","Immobilrete","via francavilla 12",45
"790","Affiliato Tecnocasa: ROCCA PRIORA MEDIAZIONE S.R.L.","via Roma 75",40
"791","Gabetti Agenzia Colli Albani - ROMA - Appia Servizi Immobiliari","Via delle Cave 87",181
"792","Frimm Studio La Storta","Via Cassia 1674",123
"793","Fquadro Fascetta Immobiliare","via squillace 82",178
"794","Fabrizio Di Pietro Immobiliare","Piazza Dell'Esquilino  42",184
"795","casegroup","Viale Giuseppe Sirtori 55",149
"796","frimm network immobiliare","via Ferdinando di Savoia 3",196
"797","DPM immobiliare","via Palombarese 59",13
"798","Solo Affitti - Agenzia Ladispoli","Via La Spezia 83",55
"799","Toscano Millesimo","Via Torrevecchia 124/C",168
"800","Re Building Immobiliare Srl","
",NA
"801","CASEDIROMA","via guido reni 35",196
"802","QUICKHOUSE.IT","Via Flaminia  395",196
"803","CASE&LOFT","VIA BASENTO 10",198
"804"," MISTER IMMY - Il consulente immobiliare","
",NA
"805","Agenzia Immobiliare Novostile","via savoia  46",198
"806","Casenetwork","Via Ignazio Giorgi 15",162
"807","Antonella Real Estate ","via del fosso dell'acqua mariana 113",118
"808","Martino Immobiliare srl","Viale Gianluigi Bonelli  40",127
"809","Attiva Real Estate S.r.l.","Via Amsterdam 50",144
