"","names","indirizzi","cap"
"99","Gabetti Roma Cassia","Via Cassia 652A",189
"100","Mr case","Corso di Francia 130",191
"101","Class & Country Homes - Pasquarelli","via Giulia 145",186
"102","ABITIAMO SRLS","Via Gramsci 17",42
"103","HOUSE GROUP S.R.L.","via teulada 83",195
"104","Carrassi & Del Gallo Studio Immobiliare","Via Tor di Nona 24",186
"105","Rigamonti Re Agency","via Antonio Bertoloni 24a",197
"106","RE ORANGE -  ROMA/ BRACCIANO / LADISPOLI / S.MARINELLA / ROMA","VIA AURELIA  287",58
"107","ROMACASA","Viale Europa 15",144
"108","STUDIO IMMOBILIARE ERCOLI","Viale del Lido 29",122
"109","D'ANDREA IMMOBILI SRL","Via San Giovanni Battista de La Salle  18",40
"110","- ANGUILLARA - ADO IMMOBILIARE SRL","VIA ANGUILLARESE 75",61
"111","ETICASI DOMUS","via Romeo Rodriguez Pereira 166",136
"112","REMAX MISSION","via Romana  28",61
"113","Les Maisons De Luise","Piazza Cavalieri di Vittorio Veneto 12",48
"114","Immobiliare Servizio Casa","via Roma 17",12
"115","gruppo immobiliare 2000","via pietro cartoni 7c",152
"116","Immobil System Affiliato Frimm 430","Via Giovanni De Calvi 65",151
"117","CUCARI SERVIZI IMMOBILIARI ","Via ajani 36",44
"118","Immobiliare Rivolta dal 1956 - Frimm","Via Orti della Farnesina 109/C",135
"119","Studio Legale Immobiliare","Via Antonio Pacinotti 27",146
"120","Aste Immobili Roma","Via Bitinia  7/9/11",179
"121","Real Casa Immobiliare","Corso Don Minzoni  31",45
"122","Ercoli e Cianfriglia srls","Via Giovanni XXIII 11/A",36
"123","SA.MA. S.a.s. di Alessandrini Lorenza & C.","via Cavour 6",48
"124","Affiliato Tecnocasa:  IMMOBILI COMMERCIALI MARCONI S.R.L.S.","via della Magliana  180",146
"125","Aste Time di Ubaldo Di Meo & C. S.a.s","Via Luigi Gaetano Marini 63",179
"126","CASA VOGUE IMMOBILIARE SRL","PIAZZALE DELLE PROVINCIE 8",162
"127","Punto Affiliato Toscano Fregene","Via castellamare 4",54
"128","RED Srl","Largo Brindisi 2",182
"129","Evoluzione Casa & Mutuo","Via fabio massimo  66",192
"130","OS REAL ESTATE S.R.L.","P.ZA VITTORIO EMANUELE II 4",185
"131","GRUPPO IMMOBILIARE SRL","Via O. da Gubbio 33-35",146
"132","Gabetti RES SRL Roma_Portuense","VIA GUGLIELMO MENGARINI 9/11",149
"133","Acropoli Srl","Via Tolstoi 2",61
"134","DOMINI REAL ESTATE","VIA DI PORTA MAGGIORE 47",185
"135","GRUPPO Res CASA ROMA ","Via Terenzio  7",193
"136","Patrizia Bacciu","via vinicio cortese 180",128
"137","L'IMMOBILIARE DI LUIGI FRESA","Via Leandro Ciuffa 57/a",40
"138","Nervi S.P.A.","Piazzale delle Belle Arti 8",196
"139","Meridiana Mediazioni s.r.l.","V.le Ettore Franceschini 69",155
"140","Immobiliare Donini Sr","Via Palermo  76",55
"141","Studio Gizzi Immobiliare","via xx settembre  98 g",187
"142","Valentino Immobiliare S.r.l.","via flaminia 21",196
"143","Casa Chic Consulting srls","Via Manfredi Azzarita 185",189
"144","New Piersanti","largo Mons. D'ardia  19/20",53
"145","ImmobilAste Italia","Via Cicerone 5",40
"146","t&t consulting","via Nazario Sauro  46/c",60
"147","Grimaldi Roma - MA.GIA IMMOBILIARE DI ROCCO PISATURO","Via Francesco Crispi (Largo Tritone) 10",187
"148","Bacci Immobiliare","Piazza Pietro Merolli 29",151
"149","FEM SRL","Via F. Zuccari 2A",153
"150","Pantheon Immobiliare ","via monte pertica   5",193
"151","Abita2001 ","Via Statilia  4",185
"152","Abitare Empire S.R.L.","Piazza Filippo Carli 18",191
"153","Casanova Immobiliare","Via Venezia 73/99",40
"154","Solo Affitti - Roma 13 - ANTHEA","Via Galla Placidia 13",159
"155","Studio Pedemontana Srl","Via Pedemontana 125",36
"156","CIPIEMME Servizi Immobiliari","Via M.V.Corvo 118/120",174
"157","MetroQuadroImmobiliare S.R.L.","Via Umberto Giordano 95",124
"158","Studio Tecnico Immobiliare Panasur","Via Generale C.A.Dalla Chiesa  26",45
"159","SOTTUNTETTO srl","Via Roma 73",40
"160","ITI NUOVA FLORIDA ","largo genova  7",40
"161","Gabetti Roma Serafico - INIZIATIVE IMMOBILIARI Srl","Via Duccio di Buoninsegna 77",142
"162","Immobiliare etrusc@ Cerveteri srl","Via Delle Mura Castellane 22",52
"163","Smil-e s.r.l.","Via Ludovisi 35",187
"164","Affitti Sicuri - Agenzia 1 - Agenzia 2","Via Arturo Graf  4",137
"165","Izzi snc Immobiliare di Mirko Catalani & C.","Via Alessandro Manzoni  23",40
"166","MEDIAZIONECASA Agenzia Castelverde S.r.l.","Via Massa di San Giuliano  141",132
"167","International Point Immobiliare","Via Di Vigna Murata  27",143
"168","OpzioneCasa","Via Massa di San Giuliano 360",132
"169","MIACASA SERVIZI IMMOBILIARI S.R.L","VIA DEL PIANETA SATURNO 69",144
"170","TOSCANO Punto Immobiliare Ardea","Viale san Lorenzo  8",40
"171","PROGEDIL 90","Piazza Enrico Martini 11",127
"172","L'Affittafacile","Via di Santa Maria Ausiliatrice 69/71",181
"173","Cioli&Rismondo Roma Centro Storico R.E.","via della scrofa  58",186
"174","IMMOBILSERVICE SRL","Via Silvio Pellico 95/A",40
"175","VALORECASAgroup","via di prataporci 1a/5",132
"176","IMMOBILIARE 2000 S.A.S. DI GENESI TEOFANIO & C.","Via Alfredo Baccarini 9",42
"177","STUDIO MAGNAGHI","via Chiana 1",198
"178","Houztutor ","Via Pellegrino Matteucci 104L",154
"179","Prati Immobiliare s.r.l. ","Via Candia  85/87",192
"180","Aradomus Srl","Via Michele Rosi 75/77",54
"181","Monterotondo Case Srl","piazza del popolo  10",15
"182","Case di Mar.Ch.E","Viale Africa 94",144
"183","Colossea Immobiliare","Via Umberto Giordano  154",124
"184","FINCRES S.P.A.","via tiburtina valeria km 22,300",11
"185","Affiliato CASA RE - ROMA INFERNETTO - INFERNETTO RE SRL","VIA E. SATIE 12",124
"186","Md Consult srl","Piazza Tarquinia 1",183
"187"," Domus Group Immobiliare","Via Boccea 617",166
"188","punto immobiliare bravetta","via della pisana 191",163
"189","Affiliato Frimm - Findhouse s.r.l.","Via di Casalotti  204",166
"190","Grimaldi Immobiliare","Via Roma 10",46
"191","Professionecasa Nettuno  -  SVILUPPO 1 SRL","Via Cavour 13",48
"192","Mediasiti","Via Nazario Sauro 18",40
"193","SAMO ITALIA S.r.l.","Via Lazzaro Spallanziani 46",161
"194","L'Immobiliare Punto","Circonvallazione Gianicolense  298/A",152
"195","Alti Livelli Immobiliare","Via Tiberio Imperatore  69",145
"196","Affiliato Tecnocasa: MEDIAZIONI INDUSTRIALI E COMMERCIALI S.R.L.","VIA NETTUNENSE 100/102",40
"197","Immobiliare MC.","viale Carnaro 15/A",141
"198","HOUSE DREAM","VIA MARCO VALERIO CORVO 139",174
"199","Iconacasa","Lungomare delle Sirene 422",71
"200","MR Case Giustiniana","Via della Giustiniana 205",188
"201","Romimmobiliare","Via A. Lavezzolo  9/B",127
"202","CASAVIP","via gregorio VII 352",165
"203","L'Immobiliare 1 srls","via dello stadio  77",60
"204","My House","Via Casilina 188",30
"205","Uno Holding","Via Rosa Raimondi Garibaldi 38",145
"206","IMMOBILIARE SAVINI S.R.L.","C.so Don Minzoni  49",45
"207","RE/MAX Studio Professionale Imm.re","Via Antonio Gramsci 34",48
"208","Domus Italy","Via Barnaba Oriani  8/A",197
"209","immagine immobiliare srl"," via di torre gaia 1",133
"210","HARGOS r.e.","Piazza Lorenzo Lotto 43/44",147
"211","L'IMMOBILIARE.COM - ANZIO ","via Porto Innocenziano 8",42
"212","rete.re","Piazza Della Repubblica 1",49
"213","Immobiliare Gallia di Botarelli Stefania","Via Gallia 101",183
"214","FUTURA CASE IMMOBILIARE","via pindaro 98",125
"215","TEMPOCASA Affiliato Formello-Cesano Di Roma","Via Umberto Primo  28",60
"216","Alianta ","Via Arenula  21",186
"217","Studio Gregorio VII 1 Srl Unipersonale","Via Gregorio VII 304",165
"218","RE/MAX Futura","viale san lorenzo  25",40
"219","Grimaldi Immobiliare Nettuno","Viale Giacomo Matteotti n.10  14",48
"220","Camicia Immobiliare","Via Mastro Gabriello 96",188
"221","Professionecasa - PROGETTO ROMA S.R.L.","VIALE AGOSTA 27",171
"222","Broker & Broker srl ","via umberto giordano 143",124
"223","Punto Imm.re Cassia Olgiata S.r.l.","VIA CASSIA 1173",189
"224","Penthouse Immobiliare Srl","viale America 1",144
"225","IDEACASA","Via Galileo Chini 61",125
"226","Rossini Immobiliare","Via Mentana 20",44
"227","Kreaworld di Altieri Martina","Via di Vermicino 30",133
"228","SANTORO IMMOBILIARE","VIA A.G BARRILI 50i",152
"229","Rigamonti Real Estate srl","Via Antonio Bertoloni 26",197
"230","Sics srl","
",NA
"231","CasaRoma Immobili s.r.l.s","Circonvallazione Ostiense 190",154
"232","Affiliato Tecnocasa: MEDIAZIONI INDUSTRIALI E COMMERCIALI S.R.L.","Via Tuscolana 645/B",174
"233","EDM IMMOBILIARE SRL","V.A.MELDOLA  39",143
"234","NON SOLO AFFITTI - P.T.M. Immobiliare","Via Tiburtina 206",185
"235","AC Immobiliare","Via Trieste 33",55
"236","Angelini Group","Via Grazia Deledda 81",137
"237","Padma srl","Piazzale Filippo il Macedone 42",124
"238","RE/MAX Home Planner","Viale dei quattro venti 64",152
"239","MR Case Cassia","Via Cassia  1669/B",123
"240","Peluso Immobiliare","VIA DELLA FOTOGRAFIA 94",142
"241","MANCINI RE IMMOBILIARE","Via Ciro Menotti 10/12",195
"242","A.S.I. - Anagnina Servizi Immobiliari","Piazza dei Consoli  73",175
"243","Affiliato Tecnocasa: COMMERCIALE NORD-EST S.R.L.","Via Salaria 224",15
"244","Art of Living","Via Del Corso  504",186
"245","MS IMMOBILIARE DI EMANUELA ACCORRÀ","Viale Castellammare 38",54
"246","Ginauri immobiliare","piazza trilussa  24/25",10
"247","Coldwell Banker Immobiliare BG&Partners","Via Val di Non 20/22",141
"248","SOLO AFFITTI - Agenzia Frascati","Via Domenico Seghetti 5",0
"249","Patrimonio12","via Monte Caminetto 0",60
"250","WRE - World Real Estate","Via Paolo Emilio 7",192
"251","Sistema Casa - San Paolo - Ostiense","V.le L. Da Vinci 124",145
"252","Alleanza Group di Carlo Grappone","Via Giuseppe Cuboni  8",197
"253","Immobilnetwork S.r.l.","Piazza S. Croce in Gerusalemme 4",185
"254","Affiliato Tecnocasa: MEDIAZIONI INDUSTRIALI E COMMERCIALI S.R.L.","Via Della Stazione di Ciampino 14/C",118
"255","F-Lab Immobiliare","Via Crescenzio 74 74",193
"256","Cominvestimenti di Lisi Claudio","Via Giovannipoli 26",145
"257","Cynthianum Immobiliare","Via S. Silvestri 168",45
"258","Affiliato Gabetti Nettuno - TRIDENTE IMM. SRL","VIA GRAMSCI 26",48
"259","Aatercasa srl","Corso Vittorio Emanuele II 209",186
"260","Gruppo Malica","via delle Terme Deciane  10",153
"261","INGELMAN IMMOBILIARE","via ugo de Carolis 31",136
"262","GROSSI IMMOBILIARE","VIA IV NOVEMBRE 83",43
"263","PRIMA RE - Immobiliare","VIA TRIPOLI 155H",199
"264","CENTROSI SRL","VIA NAPOLI 51",184
"265","Asset Casa S.r.l","Via Pericle Fazzini 42",127
"266","Gabetti Roma Fleming Vigna Clara ","Via F. S. Nitti   60/62",191
"267","Piano Alto s.r.l.","Via Due Ponti 231/A",181
"268","Solo Casa Srl","Piazzale Enrico Dunant 61",152
"269","WE HOME REAL ESTATE","via alessandria  112c",198
"270","IMMOBILIARE DI NUNZIO","
",NA
"271","DIMENSIONECASA Gold","Via Fosso dell'Osa 399",132
"272","CM non solo case srl","piazza del Mercato 2",44
"273","Agenzia S.F. Immobiliare S.r.l.- Marino","Viale della Repubblica  121",47
"274","AD Immobiliare","Via di Torrenova  190",133
"275","RE/MAX Dolcevita","via Campania 31",187
"276","Studio Vita","Via Oggiono 14",135
"277","IMMOBILI & IMPRESE SRL","Viale Europa  333",144
"278","Studio Leone IV","Via Leone IV  8-8/a",192
"279","Studio Russo Srl","Via Bevagna  68",191
"280","META CASA SERVIZI IMMOBILIARI"," VIA PARCO DELLA RIMEMBRANZA 20",41
"281","EUROCENTER IMMOBILIARE","viale Beethoven 30",144
"282","Il Tetto Immobiliare","Via Anguillarese  36",61
"283","Gabetti - Castelli House S.r.l. (Ostia fraz. Ostia Antica - Rm)","Via Francesco Donati 64-A",126
"284","Gruppo Capital","Via Lucio Papirio  80/82",174
"285","Società di Costruzioni","via copenaghen 40",144
"286","PRINZI CASE","piazza matteotti 9",47
"287","Buildingcase Colli Portuensi Immobiliare srl","Via di Val Tellina 51",151
"288","De Angelis Immobiliare","Pza Fernando De Lucia 37",139
"289","Immobiliare Casa 24H - Centro Servizi per Universitari ","via della meloria 93",136
"290","R.C.S. Immobiliare S.R.L.","Via Ceretana   6A",52
"291","AGENZIA IMMOBILIARE RUSCITO S.R.L.","VIALE ITALIA 130",55
"292","Gruppo Capital","Corso Trieste 63",198
"293","Immobiliareliotta - Palestrina","Viale Pio XII 110",36
"294","Profilo Casa","Via Francesco Cocco Ortu 32",139
"295","Immobiliare Salaria Srl","via rapagnano 73",138
"296","Building&Money","Via Duchessa di Galliera  3",151
"297","TOPCASA IMMOBILIARE SRL","Via raffaele de cesare 87",179
"298","Studioarch Gestioni Immobiliari S.r.l.","Viale Bruno Buozzi 47",197
"299","Eurofigest Immobiliare","Via Isole Salomone  12",121
"300","KEYHOUSE IMMOBILIARE SRL","Viale degli Astri 85",144
"301","Trieste Immobiliare srl","Piazza Verbano 28",199
"302","Artena Immobiliare","Piazza Galilei 27",31
"303","operazione immobiliare","
",NA
"304","Puntocasa Servizi Immobiliari","Via Giuseppe Garibaldi  26",45
"305","S.M.C. di Fabio Lilletti e Roberto Di Giovanni ","Via Colonnelle 13",41
"306","Progedil Case","Corso Trieste 38",47
"307","Gruppo Immobiliare PICA","Via Ardeatina-Lavinio 520",42
"308","Santandrea Luxury Houses - ROMA","Via dei Condotti 61",187
"309","F1 Immobiliare","Viale Europa  98",144
"310","Kedil srl ","vicolo degli olmi 2",40
"311","Osservatorio Immobiliare S.r.l.","Via Vittoria Colonna 32",193
"312","Gruppo Sant'Angelo","Circonvallazione Clodia 15",195
"313","Cecili Immobiliare","Piazza Euclide n.31 31",197
"314","Santoleri Immobiliare","Via Leonardo Greppi 106",149
"315","Casaitaly.it","Via Ludovisi 35",187
"316","Happycasa","Piazza Pio XI 53",165
"317","Affiliato Tecnocasa: STUDIO PARTENOPE S.A.S.","Viale Telese 30",177
"318","Ittielle San Giovanni","Via Gino Capponi 148",179
"319","Progetto casa 2009","VIALE GORIZIA 23",40
"320","IMMAGINE IMMOBILIARE 98","
",NA
"321","LR Immobiliare","viale Somalia 4/6",199
"322","Agenzia Immobiliare Guerrini","Via Aldo Moro 103/C",65
"323","RE/MAX BlueTower","Via F.P. da Cherso 2",143
"324","BONITO CASA ","Via Attilio Regolo 19",193
"325","RE Winning","Via Monza 36",182
"326","Case Città Roma","Via Filippo Parlatore 40",171
"327","Vecchioni immobiliare","via Ottavilla 7",152
"328","Prospettive Immobiliari ","via dello Stadio  45",60
"329","Sinergie Immobiliari Agency srl","via Boccea  274 c",167
"330","Edil Torrino 2002 s.r.l.","via Pasteur 32",144
"331","NOI Case","Via Ombrone 3",198
"332","ANTONINI FIDUCIARIA IMMOBILIARE  S.A.S.","Viale  Gorizia 52",198
"333","IMMOBILEDIL","viale Somalia  60",199
"334","Immobiliare Castel Gandolfo srl","Via G.Garibaldi  13-15",40
"335","Servizi Immobiliari Formello S.r.l. affiliato FRIMM              ","via Roma  13/a",60
"336","SERSALI RE GROUP","C.so Umberto  24",68
"337","Affiliato Tecnocasa: SERVIZI IMMOBILIARI BUFALOTTA S.R.L.","via Della Bufalotta 777",139
"338","GALA IMMOBILIARE","PIAZZA DI SPAGNA 93",187
"339","Affiliato Tecnocasa: PROGETTO CASA S.R.L.S","PIAZZA CAIROLI 3",49
"340","Gabetti Bracciano","Via agostino Fausti 49/51",62
"341","piramide immobiliare","via casal selce 383h",166
"342","Immobilart","Largo Genova 2/4/6",40
"343","Stile Casa Morena","VIA MORENA 25",43
"344","Affiliato Tecnocasa: STUDIO ESQUILINO S.R.L.","via Principe Eugenio  74 ",185
"345","esse2m","via alcide de Gasperi  4",40
"346","Croft Rome Properties","www.romeproperty.com 0",187
"347","LEMMI IMMOBILIARE","via tuscolana 1498",165
"348","MORACA CARMEN Immobiliare","Via Sebastiano Silvestri 16",45
"349","Gabetti Franchising Agency","via cipro 92",136
"350","Affiliato Tecnocasa: IMMOBILIARE UNIVERSITÀ TOR VERGATA S.R.L.S","via di tor vergata  35",133
"351","Immobiliare La Torre di De Luca Loretta","Viale Guglielmo Marconi 20",49
"352","G&Co","via Squillace  86",178
"353","Iegest srl","via Collina  32",187
"354","Casaplanet servizi immobiliari","Via Gandiglio Adolfo 136",151
"355","Antonelli Immobiliare","via pietro crostarosa 19",173
"356","Gruppo Immobiliare Agenzia Laziale srl","C.so Giacomo Matteotti 153",41
"357","Affiliato Tecnocasa: CASA CASTELLI 2013 S.R.L.","VIA SEBASTIANO SILVESTRI 89",45
"358","AGENCY PARIOLI - ROMA PARIOLI  - PARIOLI 118 REAL ESTATE SRL","VIALE PARIOLI 118",197
"359","Professionecasa - BORGHESIANA/VERMICINO/FINOCCHIO. Progettocasa S.r.l.","via di vermicino 129",133
"360","Frimm di Kant","via casal de pazzi  28",156
"361","IDEALE IMMOBILIARE","Via delle Pinete 127",40
"362","The House Link","Via Belsiana 60",187
"363","CASAGREGORY RE","largo gregorio XIII  5",167
"364","ARRIGONI IMMOBILIARE","Via Umberto Boccioni  8",197
"365","prima casa immobiliare s.a.s.","via rezzato  65",166
"366","Affiliato Tecnocasa: TECNOAZIENDA MEDIAZIONI COMMERCIALI S.R.L.","via conca d'oro 342",141
"367","GLOBAL SERVICE SRL 2010","via coni zugna  87",54
"368","Scuderi Immobiliare","Via della Costituente 40",46
"369","Catag Commercial S.R.L.","Viale Gorgia di Leontini 1",124
"370","TROIANI IMMOBILIARE SRLS","VIA NOMENTANA  550",13
"371","Affiliato Toscano","via Cassia  925A",189
